序號,漢字,Unicode,字集,有疑問／想挑戰紀錄,台客語,IICore台,IICore港,甲表,乙表,小字典,重編,縣市名,路名,姓氏,考生,城市,JIS,字型數,分類,附註
7491,㹴,3.00E+74,ExtA,,,,,,,,,,,,,,,6,,㹴犬
9114,䠷,4837,ExtA,,,,,,,,,,,,,,,4,,"建議基本包增收「䠷」字，常用詞為「高䠷」。
 「䠷」字Big-5未收，使得長久以來多以「高挑」取代。
 現代漢語中，「高䠷」屬常用詞，教育部辭典中適合中學與小學之簡編本、小辭典亦皆有收錄。"
5012,万,4.00E+07,Big5-2,,,A,,V,,V,,,2,8,,1,常,13,異體,萬
5013,与,04E0E,Big5-2,,,,,V,,,,,,,,1,常,13,異體,與
21,丰,4.00E+30,Big5-1,,A,A,,V,V,V,,,,319,,3,,14,不分類,14 都有收
5014,丼,04E3C,Big5-2,台,B,,,,,,,,,,,2,常,13,食物,牛丼
5702,乂,4.00E+42,Big5-2,,,A,,V,,V,,,,11,1,2,,11,,乂煞氣a文字乂
38,乜,04E5C,Big5-2,台、客,B,B,,V,,V,,,46,,,,,14,不分類,14 都有收
5399,亓,4.00E+93,Big5-2,,B,,,V,,V,,,239,15,,,,12,姓氏、人名,少見姓氏
5703,亘,4.00E+98,CJK,,,A,,,,V,,,,520,1,1,人,11,姓氏、人名,
5015,亢,04EA2,Big5-1,台、客,A,A,,V,V,V,,,84,25,,2,,13,常用詞,高亢
5016,亳,04EB3,Big5-1,,A,,,V,,V,,,,,,2,,13,史地用字,商湯定都於亳縣
5400,仝,04EDD,Big5-2,台,A,A,,V,V,V,,,203,14,,,,12,異體,同
5401,仨,04EE8,Big5-2,,,,,V,,V,,,,,,,,12,姓氏、人名,公司行號多
6755,仵,04EF5,Big5-2,台,,,,V,,V,,,37,,,4,,8,古漢文,仵作（驗屍官）
5402,价,04EF7,Big5-2,,,A,,V,,V,,,,54,,2,,12,異體,價
5704,伃,04F03,CJK,,,,,,,V,,,,1439,,3,,11,姓氏、人名,
6417,伋,04F0B,Big5-1,,A,A,,V,,V,,,4,6,,3,,9,,
5403,伎,04F0E,Big5-2,,A,A,,V,,V,,,,7,,1,常,12,常用詞,伎倆
5017,优,04F18,Big5-2,,A,,,V,,V,,,2,,,,,13,異體,優
5705,伝,04F1D,Big5-2,,,,,,,,,,,,,1,常,11,異體,傳
116,佈,04F48,Big5-1,台、客,A,A,,V,V,V,,,6,1,,3,,14,不分類,14 都有收
122,体,04F53,Big5-2,,A,,,V,,V,,,,,,1,常,14,不分類,14 都有收
5404,佘,04F58,Big5-2,台,B,B,,V,,V,,,3598,224,,4,,12,姓氏、人名,姓氏
5018,佚,04F5A,Big5-1,,A,A,,V,V,V,,,,12,,2,,13,常用詞,佚名
5405,佟,04F5F,Big5-2,台,B,B,,V,,V,,,642,53,,3,,12,姓氏、人名,公司行號多
5406,佢,04F62,Big5-2,客,B,B,,V,,,,,,1,,,,12,,粵語
5706,佶,04F76,Big5-2,,A,A,,V,,V,,,,139,,2,,11,命名常用,
6420,佺,04F7A,Big5-1,,A,A,,V,,V,,,,18,,4,,9,,
5019,佼,04F7C,Big5-2,,A,A,,V,,V,,,,25,,1,,13,常用詞,佼佼者
143,侄,04F84,Big5-2,,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
149,侑,04F91,Big5-1,,A,A,,V,,V,,,,1420,,2,人,14,不分類,14 都有收
5707,侔,04F94,Big5-2,,,,,V,,V,,,,2,,3,,11,,命名偶爾用
5708,侗,04F97,Big5-2,台,,A,,V,,V,,,,2,,3,,11,命名常用,
5709,侘,04F98,Big5-2,,,A,,V,,V,,,,,,2,,11,日文,侘寂
157,侷,04FB7,Big5-1,台,A,,,V,,V,,,,,,,,14,不分類,14 都有收
7100,俋,04FCB,Big5-2,,C,,,V,,,,,,86,,4,,7,,
7503,俣,04FE3,CJK,,,,,,,,,,,,2,1,人,6,,
5710,俥,04FE5,CJK,,B,,,,,,,,,,,2,,11,偶爾會用,象棋
5407,俬,04FEC,Big5-2,,B,B,,,,,,,,,,,,12,常用詞,家俬
5711,俵,04FF5,Big5-2,,A,A,,V,,V,,,,,,1,常,11,,命名偶爾用
6054,俶,04FF6,Big5-2,,B,,,V,,V,,,,27,,2,,10,,
6055,倜,0501C,Big5-2,,A,A,,V,,V,,,,3,,4,,10,,風流倜儻
5020,倢,5022,Big5-2,,C,,,V,,V,,,,438,,4,,13,姓氏、人名,姓名常用
6056,倬,0502C,Big5-2,,A,A,,V,,V,,,,105,,2,,10,,
5408,偈,5048,Big5-2,,A,A,,V,,V,,,,10,,2,,12,常用詞,侷限
6761,偭,0506D,Big5-1,,A,,,V,,V,,,,,,,,8,,離騷：偭規矩而改錯
5409,偲,5072,Big5-2,,A,,,V,,V,,,,343,,1,人,12,,
5712,傌,0508C,Big5-2,,,,,V,,V,,,,,,,,11,偶爾會用,象棋
5412,傚,0509A,Big5-1,,A,A,,V,,V,,,,1,,2,,12,常用詞,仿傚
5713,傜,0509C,Big5-2,,C,,,V,,V,,,,,,4,,11,,
5413,傣,050A3,Big5-2,,A,A,,V,,V,,,,,,4,,12,常用詞,傣族；傣語
5714,傴,050B4,Big5-2,,,,,V,,V,,,,,,2,,11,,粵語日文好像偶爾用
5414,僂,050C2,Big5-2,,C,,,V,,V,,,,,,2,,12,常用詞,僂儸
6421,僇,050C7,Big5-1,,A,,,V,,V,,,,,,4,,9,,
6058,僉,050C9,Big5-2,,A,A,,V,,V,,,,,,2,,10,,
5715,僎,050CE,Big5-1,,A,,,V,,V,,,,,,4,,11,古漢文,
5716,僞,050DE,CJK,,,A,,,,,,,,,,2,人,11,異體,"建議將「爲」「僞」由日文包移至基本包。
漢字文化圈中，僅韓國〈漢文教育用基礎漢字〉將「爲」列為教用字。中國大陸已簡化作「为」，「爲」屬繁體字；香港〈常用字字形表〉收「為」，註「亦作爲」；台灣「常用國字標準字體表」收「為」，「爲」列為異體字；日本〈常用漢字表〉收新字體「為」，舊字體「爲」收於〈人名用漢字表〉。將「爲」作為偏旁之「僞」字亦同。
在使用傳統漢字之華人地區，「爲/僞」仍常見於印刷、手寫，或取名採用之字形。收於日文包可能基於〈人名用漢字表〉，但實際上華語人士才是「爲/僞」之大量使用者，因此應移至基本包為妥。"
6764,僩,5.00E+10,Big5-1,,A,,,V,,V,,,,7,,4,,8,,
5717,儆,5106,Big5-2,客,A,A,,V,,V,,,,2,,3,,11,常用詞,殺雞儆猴
259,儕,5115,Big5-1,客,A,A,,V,,V,,,,23,,2,,14,不分類,14 都有收
5415,儸,5138,Big5-1,,A,,,V,V,V,,,,,,,,12,常用詞,僂儸
5416,儺,0513A,Big5-2,,,A,,V,,V,,,,,,2,,12,,兩面宿儺
5022,儻,0513B,Big5-1,,A,,,V,,V,,,,,,2,,13,常用詞,風流倜儻
267,儿,0513F,Big5-1,,A,,,,,V,,,,5,,2,,14,不分類,14 都有收
5024,党,0515A,Big5-2,,,,,V,,V,,,54,2,,1,常,13,異體,黨
5025,円,5186,CJK,,,A,,,,,,,,,,1,常,13,日文,貨幣 = 圓
300,冇,5187,Big5-2,台、客,B,B,,V,,,,,,,,,,14,不分類,14 都有收
5026,冏,0518F,Big5-2,,,C,,V,,V,,,,3,,2,,13,網路,
5027,冪,051AA,Big5-1,,A,A,,V,,V,,,,,,2,,13,科學工程,降冪
5029,冼,051BC,Big5-2,,B,B,,V,,V,,,521,33,,4,,13,姓氏、人名,姓氏、洗的異體
6067,凃,051C3,CJK,台語閱讀越懂,C,,,,,,,,16447,645,,3,,10,姓氏、人名,
5030,凄,051C4,Big5-2,,,A,,V,,,,,,,,1,常,13,異體,淒
5031,凭,051ED,CJK,,,A,,,,V,,,,38,,2,,13,異體,憑
5419,刖,5216,Big5-1,,A,,,V,,V,,,,,,4,,12,史地用字,古刑罰
5420,剉,5249,Big5-2,台,C,,,V,,V,,,,,,3,,12,常用詞,剉傷
5722,剮,0526E,Big5-2,,,,,,,V,,,,,,,,11,常用詞,千刀萬剮
5724,劄,5284,Big5-2,,C,,,V,,V,,,,,,4,,11,偶爾會用,劄記
382,劊,0528A,Big5-1,客,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
6432,劓,5293,Big5-1,,A,,,V,,V,,,,,,3,,9,,
393,劭,052AD,Big5-2,,B,,,V,V,V,,,,1232,,2,,14,不分類,14 都有收
6774,劻,052BB,Big5-1,,A,,,,,V,,,,13,,4,,8,,
5725,劼,052BC,Big5-2,,,,,V,,V,,,,70,,2,,11,姓氏、人名,
6071,勣,5.20E+04,Big5-1,,A,A,,V,,V,,,,7,,2,,10,,
5726,勰,052F0,Big5-1,,A,,,V,,V,,1,,8,,3,,11,姓氏、人名,
411,勳,052F3,Big5-1,台,A,A,,,,V,,,,5894,,2,人,14,不分類,14 都有收
414,勺,052FA,Big5-1,客,A,A,,V,V,V,,,1,17,1,1,人,14,不分類,14 都有收
7523,匭,0532D,Big5-2,,C,,,V,,V,,,,,,,,6,,票匭、字匭
5422,卍,0534D,Big5-2,,,A,,V,,V,,,,,,2,,12,,
5425,厂,5382,Big5-2,,,,,V,,V,,,,2,,2,,12,部首,或作簡體廠用
468,厘,5398,Big5-2,台,A,A,,,V,V,,1,,1,,1,常,14,不分類,14 都有收
5728,叁,053C1,CJK,,,A,,,,,,,,,,,,11,常用詞,大寫數字三
481,双,053CC,CJK,,,,,,,,,19,33,22,,1,常,14,不分類,14 都有收
488,叡,5.30E+02,Big5-2,台,A,A,,V,,V,,,,1683,1,1,人,14,不分類,14 都有收
5428,叶,053F6,CJK,,,,,,,V,,,4,,,1,人,12,異體,日文的實現，或葉的簡體、協的異體
508,叻,053FB,Big5-1,,A,A,,V,,,,,,,47,,,14,不分類,14 都有收
5430,吔,5414,CJK,客語閱讀越懂,,,,,V,V,,,,,,,,12,狀聲詞,感嘆詞，現在多寫耶代替
534,听,0542C,Big5-1,,A,,,V,,V,,,,27,,2,,14,不分類,14 都有收
5033,吽,0543D,Big5-2,,B,,,,,V,,,,,,2,,13,常用詞,嗡嘛呢叭咪吽
5730,呔,5454,Big5-2,台,,B,,V,,V,,,,,,,,11,台語,
8264,呣,5463,Big5-2,,,,,,,,,,,,,,,5,,各種狀聲
6073,呤,5464,Big5-2,,B,,,,,,,,,1,,,,10,科學工程,嘌呤（或稱普林；食品成分常見）
554,呦,5466,Big5-2,,B,,,V,,V,,,,1,,4,,14,不分類,14 都有收
5431,呯,0546F,Big5-2,,B,B,,,,,,,,,,,,12,狀聲詞,
5432,呿,0547F,Big5-2,台、客,,,,V,,V,,,,,,3,,12,狀聲詞,呿！.
5433,咁,5481,Big5-2,,B,B,,V,,,,,,,,,,12,台語,台語「敢」報章常見異用字
6074,咂,5482,Big5-2,台、客,B,,,V,,V,,,,,,,,10,,
7534,咈,5488,Big5-2,,,,,V,,V,,,,,,3,,6,,笑聲
5434,咏,0548F,CJK,客例句,A,A,,,,V,,,,170,,2,,12,姓氏、人名,詠的異體，但常見於人名
5732,咔,5494,CJK,,B,,,,,,,,,,,,,11,狀聲詞,咔擦
577,咧,054A7,Big5-1,台、客,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
579,咩,054A9,Big5-1,台,A,A,,V,V,V,,,,,,3,,14,不分類,14 都有收
5436,咭,054AD,Big5-2,,,B,,V,,V,,,,,,4,,12,異體,香港的卡
5034,咲,054B2,CJK,,,,,,,,,,,,,1,常,13,日文,開花、人名
5437,咾,054BE,Big5-2,台,C,,,,,,,1,,,,2,,12,常用詞,咕咾肉
589,咿,054BF,Big5-1,,A,,,V,,V,,,,1,,4,,14,不分類,14 都有收
594,哆,054C6,Big5-2,台、客,A,A,,V,,V,,,,,,3,,14,不分類,14 都有收
5035,哏,054CF,Big5-2,,,,,V,,V,,,,,,,,13,常用詞,沒哏
6791,哖,054D6,Big5-2,台,C,,,V,,V,,2,99,14,,,,8,,噍吧哖事件
5036,哞,054DE,Big5-2,,C,,,,V,,,,,,,,,13,常用詞,牛叫聲
5440,哧,5.40E+08,Big5-2,,B,,,V,,V,,,,,,,,12,常用詞,噗哧
610,哽,054FD,Big5-1,台、客,A,A,,V,V,V,,,,,,2,,14,不分類,14 都有收
612,唄,5504,Big5-2,,A,A,,V,,V,,,1,,10,1,常,14,不分類,14 都有收
614,唇,5507,Big5-1,台,A,A,,V,,V,,,,,,1,常,14,不分類,14 都有收
7125,唎,0550E,Big5-2,,,A,,,,,,,,2,,3,,7,,
616,唏,0550F,Big5-1,台,A,A,,V,,V,,,,,,2,,14,不分類,14 都有收
5734,唑,5511,Big5-2,,,,,V,,,,,,,,,,11,科學工程,唑吡坦；常見安眠藥成分
5441,唭,0552D,Big5-2,台,C,,,,,,,,,,,,,12,台灣地名,唭哩岸
5442,唰,5530,Big5-2,,B,,,V,,,,,,,,,,12,常用詞,狀聲
6793,唵,5535,Big5-2,,,A,,V,,V,,,,,,3,,8,,唵嘛呢叭咪吽
5736,啁,5541,Big5-1,,A,A,,V,V,V,,,,,,4,,11,,
5737,啅,5545,Big5-2,,,,,V,,V,,,,,,2,,11,粵語,
6078,啐,5550,Big5-2,客,B,,,V,,V,,,,,,3,,10,,
633,啓,5553,CJK,,,A,,,,V,,5,,7,,1,常,14,不分類,14 都有收
636,啗,5557,Big5-1,,A,,,V,,V,,,,,,2,,14,不分類,14 都有收
643,啥,5565,Big5-2,台,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
5037,啵,5575,Big5-2,,C,,,V,,V,,,,,,,,13,常用詞,打啵
6081,啶,5576,Big5-2,,,,,V,,V,,,,,,,,10,,
6082,啷,5577,Big5-2,客,B,,,V,,V,,,,,,,,10,,
653,喆,5586,CJK,,,A,,,,V,,,,293,,3,,14,不分類,14 都有收
5740,喎,0558E,Big5-2,,,B,,,,V,,,,,,3,,11,粵語,
5038,喏,0558F,Big5-2,客,B,,,V,,V,,,,2,,,,13,狀聲詞,喏？
6083,喑,5591,Big5-2,台,,,,V,,V,,,,,,4,,10,,"建議將「喑」由本土包移至基本包。
「瘖啞」又作「喑啞」。中研院現代漢語語料庫詞頻統計「喑啞(VH)」頻率為1次（排序93826），香港中文大學現代漢語常用字頻統計「喑」字亦分別在陸港台前5000字內，該字有一定實用性。"
660,喙,5599,Big5-1,台,A,A,,V,V,V,,,,,,2,,14,不分類,14 都有收
5741,喨,055A8,Big5-2,台,B,,,V,,V,,,,93,,2,,11,姓氏、人名,
667,喫,055AB,Big5-1,客,A,A,,V,,V,,,,,,1,常,14,不分類,14 都有收
673,喵,055B5,Big5-2,,B,,,V,V,V,,,,,,,,14,不分類,14 都有收
5443,嗄,055C4,Big5-2,台、客,C,,,V,,V,,,2,1,,2,,12,狀聲詞,感嘆詞
6086,嗉,055C9,Big5-1,,A,,,V,,V,,,,,,4,,10,,
5039,嗒,055D2,Big5-2,客,B,B,,V,,V,,,,,,4,,13,狀聲詞,嗒嗒的馬蹄、機關槍嗒嗒嗒
5040,嗔,055D4,Big5-2,,A,A,,V,,V,,,,,,2,,13,常用詞,發怒義
5743,嗖,055D6,Big5-2,,,,,V,V,V,,,,,,,,11,,
5444,嗝,055DD,Big5-2,台,B,,,V,,V,,,,,,4,,12,常用詞,打嗝
5041,嗩,5.50E+10,Big5-2,,B,B,,V,,V,,,,,,4,,13,常用詞,嗩吶
5042,嗲,055F2,Big5-2,台、客,B,B,,V,,V,,,,,,,,13,常用詞,聲音很嗲
691,嗶,055F6,Big5-1,客,A,A,,V,V,V,,,,,,,,14,不分類,14 都有收
5746,嘌,0560C,Big5-2,,C,,,V,,V,,,,,,,,11,科學工程,嘌呤（或稱普林；食品成分常見）
5446,嘓,5613,Big5-2,台,C,,,V,,V,,,,,,,,12,狀聲詞,青蛙等叫聲
5447,嘜,0561C,Big5-2,,B,B,,V,,,,,,,,,,12,狀聲詞,常用狀聲字；台語「莫」的民間異用字
6091,嘞,0561E,CJK,,,,,,,,,,,,,,,10,,
7549,嘧,5627,Big5-2,,,,,V,,V,,,,,,,,6,,嘧啶
712,嘸,5638,Big5-2,,C,,,V,,V,,,,,,2,,14,不分類,14 都有收
716,噁,5641,Big5-2,台,C,,,V,,V,,,,,,,,14,不分類,14 都有收
717,噌,0564C,Big5-2,台,A,A,,V,,V,,,,,,1,人,14,不分類,14 都有收
6800,噍,0564D,CJK,台、客,,,,,,V,,2,,,,,,8,,噍吧哖事件
5749,噘,5658,Big5-2,,B,,,V,,V,,,,,,,,11,常用詞,噘嘴
722,噠,5660,Big5-2,,C,,,V,,V,,,,1,,4,,14,不分類,14 都有收
5043,噶,5676,Big5-1,台、客,A,,,V,,V,,,14,,14,3,,13,台灣地名,噶瑪蘭
6448,嚆,5686,Big5-2,,,A,,V,,V,,,,,,2,,9,,
5044,嚓,5693,Big5-2,台,B,B,,V,,,,,,,,,,13,常用詞,喀嚓
6450,嚦,056A6,Big5-2,,B,B,,V,,V,,,,1,,,,9,,
5448,囍,056CD,Big5-2,,A,A,,V,,,,,,,,4,,12,常用詞,
5449,囓,056D3,Big5-2,客,C,,,V,,,,,,,,2,,12,異體,齧
6098,囔,056D4,Big5-2,,B,,,V,,V,,,,,,,,10,,
5751,囗,056D7,Big5-2,,,,,V,,V,,,,,,2,,11,部首,
760,囝,056DD,Big5-1,台,A,A,,V,,V,,,,,,,,14,不分類,14 都有收
5045,囟,056DF,Big5-2,台、客,B,,,V,,V,,,,,,4,,13,古漢文,腦門的意思
5046,囡,5.60E+02,Big5-2,台,B,B,,V,V,V,,,,2,,,,13,常用詞,囡仔
5047,囧,5.60E+08,Big5-2,,,,,V,,V,,,,1,,,,13,網路,同冏
5048,囫,056EB,Big5-1,台、客,A,,,V,V,V,,,,,,,,13,常用詞,囫圇吞棗
5753,囹,056F9,Big5-2,客,A,A,,V,,V,,,,,,2,,11,常用詞,身陷囹圄
5049,囿,056FF,Big5-1,,A,A,,V,,V,,,,72,,2,,13,常用詞,囿於成見
5050,圄,5704,Big5-1,,A,A,,V,,V,,,,,,2,,13,常用詞,囹圄
5051,圇,5707,Big5-2,台,C,,,V,V,V,,,,,,,,13,常用詞,囫圇吞棗
6099,圉,5709,Big5-1,,A,,,V,,V,,,,1,,2,,10,,
5052,圜,0571C,Big5-2,台,B,,,V,,V,,,,64,,2,,13,常用詞,轉圜、韓圜
5053,圣,5723,Big5-2,,,,,,,,,,,3,,4,,13,簡體,聖
5755,圮,0572E,Big5-2,,C,,,V,V,V,,,,,,,,11,,
5054,圻,0573B,Big5-1,,A,A,,V,,V,,,,350,,2,,13,姓氏、人名,人名、公司名常用
783,坂,5742,CJK,,A,A,,,,V,,4,11,,76,1,常,14,不分類,14 都有收
11880,坋,0574B,Big5-2,,,,,,,,,,,,,,,2,,
5756,坌,0574C,Big5-2,台,C,,,V,,V,,,,,,4,,11,,大坌坑遺址
6804,坔,5754,CJK,台語閱讀越懂,C,,,,,,,3,,,,,,8,,台南、花蓮、地名
5055,坨,5768,Big5-2,,B,,,,,V,,,,,,4,,13,常用詞,一坨屎
5452,坯,0576F,Big5-2,台、客,A,A,,V,,V,,,,,,4,,12,常用詞,手拉坯
6100,坳,5773,Big5-2,台,B,,,V,,V,,,,,,4,,10,,
6101,坵,5775,Big5-2,台、客,A,A,,V,,V,,2,,1,1,4,,10,,烏坵
800,垓,5793,Big5-1,,A,A,,V,,V,,,,2,,2,,14,不分類,14 都有收
5757,垛,0579B,Big5-2,,A,,,V,,V,,,,,,,,11,命名常用,
5758,垵,057B5,Big5-2,,C,,,V,,,,4,,1,,,,11,命名常用,
6103,埆,057C6,Big5-2,台,C,,,V,,V,,,,,,2,,10,,土埆厝
5759,埒,057D2,Big5-2,台,B,,,V,,V,,1,,,,2,,11,台語,
810,埕,057D5,Big5-2,台、客,B,,,V,V,V,41,57,60,16,,,,14,不分類,14 都有收
5760,埗,057D7,CJK,,,B,,,,,,,,,,4,,11,粵語,深水埗
5453,埜,057DC,Big5-2,,A,,,V,,V,,1,,10,,1,人,12,異體,野
5761,埡,5.70E+02,Big5-2,,C,,,,V,,,,,,,,,11,,
6805,埭,057ED,Big5-2,,B,,,V,,V,,,,,,3,,8,,
5762,埴,057F4,Big5-2,,,A,,V,,V,,,,1,,1,人,11,古漢文,
6104,埵,057F5,Big5-2,,,,,V,,V,,,,,,3,,10,,心經：菩提薩埵
5763,埼,057FC,Big5-2,,A,A,,,,V,,,,28,10,1,常,11,世界地名,埼玉
5454,堀,5800,Big5-2,台,A,A,,V,,V,,6,4,,11,1,常,12,日文,新堀江
818,堃,5803,CJK,台語閱讀越懂,B,B,,,,V,,,,382,,,,14,不分類,14 都有收
5764,堇,5807,Big5-2,,C,,,V,,V,,,,29,,,,11,動植物,
5056,堉,5809,Big5-1,,A,A,,,,V,,,,184,,3,,13,姓氏、人名,人名常用
6106,堝,0581D,Big5-1,,A,,,V,,V,,,,,,2,,10,,
6454,堠,5820,Big5-1,,A,,,V,,V,,,,,,4,,9,,
5455,塋,0584B,Big5-1,,A,A,,V,,V,,,,1,,2,,12,姓氏、人名,
6107,塒,5852,Big5-1,客,A,,,V,,V,,,,,,2,,10,,
6457,塱,5871,Big5-2,,B,,,,,,,,,,,,,9,,
6109,塽,0587D,Big5-1,,A,A,,,,V,,,,2,,,,10,,
5766,墉,5889,Big5-2,,A,A,,V,,V,,,,35,,3,,11,姓氏、人名,
5456,墘,5898,Big5-2,台,C,,,V,,V,,31,,,,,,12,台灣地名,港墘
6807,墦,058A6,Big5-1,,A,,,V,,V,,,,,,,,8,,墦間酒食
5058,墩,058A9,Big5-1,台、客,A,A,,V,V,V,,51,,28,,3,,13,常用詞,橋墩
5457,墻,058BB,Big5-2,,A,A,,,,V,,1,,3,,2,,12,異體,牆
5767,壎,058CE,Big5-1,,A,A,,V,,V,,,,47,,3,,11,姓氏、人名,
5059,壼,058FC,Big5-2,客,C,,,V,V,V,,,,,,2,,13,不分類,原意是宮廷中的通道，現在是壺的常見訛寫字
5769,夬,0592C,Big5-2,,,B,,V,,V,,,,,,2,,11,命名常用,
890,夯,0592F,Big5-2,台,A,,,V,,V,,,,,,,,14,不分類,14 都有收
6110,奭,0596D,Big5-1,,A,A,,V,,V,,,,28,,3,,10,,
6111,奼,0597C,Big5-2,,C,,,V,V,V,,,,,,4,,10,,"建議基本包增收「奼」字，常用詞如「奼紫嫣紅」。
適用於小學生之《國語小字典》亦有收錄該字詞。"
926,妏,0598F,Big5-2,,C,,,,,,,,1,1407,,,,14,不分類,14 都有收
6814,妘,5998,Big5-2,,C,,,V,,,,,,356,,,,8,,人名太多ㄌ
5060,妲,059B2,Big5-2,台、客,B,,,V,,V,,,20,7,,2,,13,史地用字,妲己
5772,姝,059DD,Big5-2,,A,A,,V,,V,,,,465,,3,,11,常用詞,雙姝
6462,姮,059EE,Big5-2,,A,A,,V,,V,,,,217,,4,,9,,
961,姵,059F5,Big5-2,,C,,,,,,,,,2155,,,,14,不分類,14 都有收
5061,娉,05A09,Big5-1,台,A,A,,V,,V,,,,109,,2,,13,常用詞,娉婷
984,婕,05A55,Big5-2,,B,,,V,,V,,,,2406,,4,,14,不分類,14 都有收
5774,婬,05A6C,Big5-2,,,,,V,,V,,,,,,2,,11,,通淫
5062,婭,05A6D,Big5-2,,B,B,,V,,V,,,2,8,,3,,13,常用詞,翻譯名詞常用字
5775,媗,05A97,Big5-2,,C,,,,,,,,,76,,,,11,姓氏、人名,
5459,媜,05A9C,Big5-2,,B,B,,,,,,,,244,,4,,12,姓氏、人名,
5776,媞,05A9E,Big5-2,,C,,,V,,V,,,,50,,3,,11,姓氏、人名,
994,媧,05AA7,Big5-1,台,A,A,,V,V,V,,,,1,,3,,14,不分類,14 都有收
5063,嫋,05ACB,Big5-2,,B,,,V,,V,,,,,,2,,13,常用詞,嫋娜
6112,嫚,05ADA,Big5-2,,B,B,,V,,V,,,,344,,4,,10,,
5064,嫺,05AFA,Big5-2,,B,B,,,,V,,,,803,,2,,13,姓氏、人名,人名常用
5065,嬈,05B08,Big5-1,台,A,,,V,,V,,,,7,,4,,13,連綿詞,嬌嬈
5779,嬖,05B16,Big5-2,,,A,,V,,V,,,,2,,2,,11,古漢文,命名偶爾用
6113,嬗,05B17,Big5-2,,B,,,V,,V,,,,,,4,,10,,
5066,嬛,05B1B,Big5-2,,,,,V,V,V,,,,67,,,,13,姓氏、人名,甄嬛
6817,嬡,05B21,Big5-2,,C,,,V,,V,,,,39,,,,8,,令嬡
6818,嬬,05B2C,Big5-2,,A,,,,,V,,,,85,,1,,8,,
5461,嬲,05B32,Big5-2,,,B,,V,,V,,,,,,2,,12,偶爾會用,
5068,嬿,05B3F,Big5-2,,B,,,V,,V,,,,724,,,,13,姓氏、人名,嬿婉
5069,孃,05B43,Big5-1,,A,A,,V,,V,,,,10,,2,人,13,常用詞,舞孃
5780,孅,05B45,Big5-2,,,,,V,,V,,,,4,,2,,11,命名常用,
